# Google Ads Editor CSV Import — MCA Lead Gen Campaigns
# Import this file via Google Ads Editor: File > Import > From CSV
# — Max

Campaign,Ad Group,Keyword,Match Type,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Display URL,Final URL,Campaign Budget,Campaign Type,Bid Strategy Type
MCA Lead Gen - Search,Restaurant Funding,merchant cash advance restaurant,Phrase,MCA for Restaurants,AI Shops 100+ Funders,No Hard Credit Pull 24hr,Get the best funding offer for your restaurant. One application our AI shops 100+ funders.,No paperwork. No hard credit pull. Funding in 24 hours.,funding.yournextfund.com/restaurant-mca-new-york-ny,https://funding.yournextfund.com/restaurant-mca-new-york-ny/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Restaurant Funding,restaurant funding,Phrase,MCA for Restaurants,AI Shops 100+ Funders,No Hard Credit Pull 24hr,Get the best funding offer for your restaurant. One application our AI shops 100+ funders.,No paperwork. No hard credit pull. Funding in 24 hours.,funding.yournextfund.com/restaurant-mca-new-york-ny,https://funding.yournextfund.com/restaurant-mca-new-york-ny/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Restaurant Funding,restaurant business loan,Phrase,MCA for Restaurants,AI Shops 100+ Funders,No Hard Credit Pull 24hr,Get the best funding offer for your restaurant. One application our AI shops 100+ funders.,No paperwork. No hard credit pull. Funding in 24 hours.,funding.yournextfund.com/restaurant-mca-new-york-ny,https://funding.yournextfund.com/restaurant-mca-new-york-ny/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Restaurant Funding,working capital restaurant,Phrase,MCA for Restaurants,AI Shops 100+ Funders,No Hard Credit Pull 24hr,Get the best funding offer for your restaurant. One application our AI shops 100+ funders.,No paperwork. No hard credit pull. Funding in 24 hours.,funding.yournextfund.com/restaurant-mca-new-york-ny,https://funding.yournextfund.com/restaurant-mca-new-york-ny/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Restaurant Funding,restaurant financing,Phrase,MCA for Restaurants,AI Shops 100+ Funders,No Hard Credit Pull 24hr,Get the best funding offer for your restaurant. One application our AI shops 100+ funders.,No paperwork. No hard credit pull. Funding in 24 hours.,funding.yournextfund.com/restaurant-mca-new-york-ny,https://funding.yournextfund.com/restaurant-mca-new-york-ny/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Construction Funding,construction business funding,Phrase,Funding for Construction,AI Shops 100+ Funders,No Hard Credit 24hr Funding,Get working capital for your construction company. One application 100+ funders compared.,No hard credit pull. Funded in 24 hours.,funding.yournextfund.com/construction-mca-houston-tx,https://funding.yournextfund.com/construction-mca-houston-tx/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Construction Funding,MCA construction company,Phrase,Funding for Construction,AI Shops 100+ Funders,No Hard Credit 24hr Funding,Get working capital for your construction company. One application 100+ funders compared.,No hard credit pull. Funded in 24 hours.,funding.yournextfund.com/construction-mca-houston-tx,https://funding.yournextfund.com/construction-mca-houston-tx/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Construction Funding,working capital construction,Phrase,Funding for Construction,AI Shops 100+ Funders,No Hard Credit 24hr Funding,Get working capital for your construction company. One application 100+ funders compared.,No hard credit pull. Funded in 24 hours.,funding.yournextfund.com/construction-mca-houston-tx,https://funding.yournextfund.com/construction-mca-houston-tx/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Construction Funding,contractor funding,Phrase,Funding for Construction,AI Shops 100+ Funders,No Hard Credit 24hr Funding,Get working capital for your construction company. One application 100+ funders compared.,No hard credit pull. Funded in 24 hours.,funding.yournextfund.com/construction-mca-houston-tx,https://funding.yournextfund.com/construction-mca-houston-tx/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Trucking Funding,trucking company funding,Phrase,MCA for Trucking,AI Shops 100+ Funders,No Hard Credit 24hr,Get funding for your trucking company based on revenue not credit. One application 100+ funders.,No hard credit pull. 24-hour funding.,funding.yournextfund.com/trucking-mca-atlanta-ga,https://funding.yournextfund.com/trucking-mca-atlanta-ga/,75/day,Search,Maximize Conversions
